"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 2022 (provisional)","2022/01",19,Not Applicable,Not Applicable
,"Feb., 2022 (provisional)","2022/02",11,Not Applicable,Not Applicable
,"Mar., 2022 (provisional)","2022/03",10,Not Applicable,Not Applicable
,"Apr., 2022 (provisional)","2022/04",Suppressed,Not Applicable,Not Applicable
,"May, 2022 (provisional)","2022/05",Suppressed,Not Applicable,Not Applicable
,"Jun., 2022 (provisional)","2022/06",Suppressed,Not Applicable,Not Applicable
,"Jul., 2022 (provisional)","2022/07",10,Not Applicable,Not Applicable
,"Aug., 2022 (provisional)","2022/08",10,Not Applicable,Not Applicable
,"Sep., 2022 (provisional)","2022/09",Suppressed,Not Applicable,Not Applicable
,"Oct., 2022 (provisional)","2022/10",Suppressed,Not Applicable,Not Applicable
,"Nov., 2022 (provisional)","2022/11",Suppressed,Not Applicable,Not Applicable
,"Dec., 2022 (provisional)","2022/12",Suppressed,Not Applicable,Not Applicable
,"Jan., 2023 (provisional)","2023/01",Suppressed,Not Applicable,Not Applicable
,"Feb., 2023 (provisional)","2023/02",Suppressed,Not Applicable,Not Applicable
,"Mar., 2023 (provisional)","2023/03",Suppressed,Not Applicable,Not Applicable
,"Apr., 2023 (provisional)","2023/04",Suppressed,Not Applicable,Not Applicable
,"May, 2023 (provisional)","2023/05",Suppressed,Not Applicable,Not Applicable
,"Jun., 2023 (provisional)","2023/06",Suppressed,Not Applicable,Not Applicable
,"Jul., 2023 (provisional)","2023/07",Suppressed,Not Applicable,Not Applicable
,"Aug., 2023 (provisional)","2023/08",Suppressed,Not Applicable,Not Applicable
,"Sep., 2023 (provisional)","2023/09",Suppressed,Not Applicable,Not Applicable
,"Oct., 2023 (provisional and partial)","2023/10",Suppressed,Not Applicable,Not Applicable
"Total",,,152,Not Applicable,Not Applicable
