"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",3474,20606460,16.9
,"2000","2000",3253,20549505,15.8
,"2001","2001",3093,20173362,15.3
,"2002","2002",3018,19872417,15.2
,"2003","2003",2898,19620851,14.8
,"2004","2004",2888,19454237,14.8
,"2005","2005",2837,19389067,14.6
,"2006","2006",2735,19544688,14.0
,"2007","2007",2711,19714611,13.8
,"2008","2008",2502,19929602,12.6
,"2009","2009",2523,20182499,12.5
,"2010","2010",2330,20348657,11.5
,"2011","2011",2451,20334196,12.1
,"2012","2012",2334,20475536,11.4
,"2013","2013",2427,20570581,11.8
,"2014","2014",2357,20519566,11.5
,"2015","2015",2402,20487176,11.7
,"2016","2016",2490,20429799,12.2
,"2017","2017",2354,20304238,11.6
,"2018","2018",2330,20195642,11.5
,"2019","2019",2333,20195895,11.6
,"2020 ","2020",2210,20237711,10.9
"Total",,,57950,443136296,13.1
