"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	3500	Not Applicable	Not Applicable
	"1999"	"1999"	"Alaska"	"02"	116	Not Applicable	Not Applicable
	"1999"	"1999"	"Arizona"	"04"	3109	Not Applicable	Not Applicable
	"1999"	"1999"	"Arkansas"	"05"	2492	Not Applicable	Not Applicable
	"1999"	"1999"	"California"	"06"	20177	Not Applicable	Not Applicable
	"1999"	"1999"	"Colorado"	"08"	2469	Not Applicable	Not Applicable
	"1999"	"1999"	"Connecticut"	"09"	3074	Not Applicable	Not Applicable
	"1999"	"1999"	"Delaware"	"10"	484	Not Applicable	Not Applicable
	"1999"	"1999"	"District of Columbia"	"11"	370	Not Applicable	Not Applicable
	"1999"	"1999"	"Florida"	"12"	15731	Not Applicable	Not Applicable
	"1999"	"1999"	"Georgia"	"13"	4414	Not Applicable	Not Applicable
	"1999"	"1999"	"Hawaii"	"15"	711	Not Applicable	Not Applicable
	"1999"	"1999"	"Idaho"	"16"	892	Not Applicable	Not Applicable
	"1999"	"1999"	"Illinois"	"17"	9826	Not Applicable	Not Applicable
	"1999"	"1999"	"Indiana"	"18"	4923	Not Applicable	Not Applicable
	"1999"	"1999"	"Iowa"	"19"	3369	Not Applicable	Not Applicable
	"1999"	"1999"	"Kansas"	"20"	2797	Not Applicable	Not Applicable
	"1999"	"1999"	"Kentucky"	"21"	3373	Not Applicable	Not Applicable
	"1999"	"1999"	"Louisiana"	"22"	3079	Not Applicable	Not Applicable
	"1999"	"1999"	"Maine"	"23"	1307	Not Applicable	Not Applicable
	"1999"	"1999"	"Maryland"	"24"	3519	Not Applicable	Not Applicable
	"1999"	"1999"	"Massachusetts"	"25"	5966	Not Applicable	Not Applicable
	"1999"	"1999"	"Michigan"	"26"	7289	Not Applicable	Not Applicable
	"1999"	"1999"	"Minnesota"	"27"	4523	Not Applicable	Not Applicable
	"1999"	"1999"	"Mississippi"	"28"	2160	Not Applicable	Not Applicable
	"1999"	"1999"	"Missouri"	"29"	5449	Not Applicable	Not Applicable
	"1999"	"1999"	"Montana"	"30"	804	Not Applicable	Not Applicable
	"1999"	"1999"	"Nebraska"	"31"	1807	Not Applicable	Not Applicable
	"1999"	"1999"	"Nevada"	"32"	763	Not Applicable	Not Applicable
	"1999"	"1999"	"New Hampshire"	"33"	968	Not Applicable	Not Applicable
	"1999"	"1999"	"New Jersey"	"34"	6742	Not Applicable	Not Applicable
	"1999"	"1999"	"New Mexico"	"35"	1142	Not Applicable	Not Applicable
	"1999"	"1999"	"New York"	"36"	15136	Not Applicable	Not Applicable
	"1999"	"1999"	"North Carolina"	"37"	5299	Not Applicable	Not Applicable
	"1999"	"1999"	"North Dakota"	"38"	759	Not Applicable	Not Applicable
	"1999"	"1999"	"Ohio"	"39"	9519	Not Applicable	Not Applicable
