"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",36804,22882549,160.8
,"2000","2000",36140,22706664,159.2
,"2001","2001",36895,22235918,165.9
,"2002","2002",35347,21751218,162.5
,"2003","2003",34055,21264159,160.2
,"2004","2004",31944,20874649,153.0
,"2005","2005",31420,20798653,151.1
,"2006","2006",31499,20941233,150.4
,"2007","2007",30881,20963891,147.3
,"2008","2008",29864,20817463,143.5
,"2009","2009",29510,20507796,143.9
,"2010","2010",28012,20179642,138.8
,"2011","2011",27478,19594309,140.2
,"2012","2012",27372,19488199,140.5
,"2013","2013",27821,19603770,141.9
,"2014","2014",29325,19921650,147.2
,"2015","2015",31417,20374585,154.2
,"2016","2016",35277,20773905,169.8
,"2017","2017",36901,21231997,173.8
,"2018","2018",37617,21563587,174.4
,"2019","2019",38638,21737521,177.7
,"2020 ","2020",48081,21828304,220.3
"Total",,,732298,462041662,158.5
