"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",315238,Not Applicable,Not Applicable
,"2000","2000",322358,Not Applicable,Not Applicable
,"2001","2001",325756,Not Applicable,Not Applicable
,"2002","2002",335691,Not Applicable,Not Applicable
,"2003","2003",341005,Not Applicable,Not Applicable
,"2004","2004",333633,Not Applicable,Not Applicable
,"2005","2005",351771,Not Applicable,Not Applicable
,"2006","2006",349880,Not Applicable,Not Applicable
,"2007","2007",354423,Not Applicable,Not Applicable
,"2008","2008",372139,Not Applicable,Not Applicable
,"2009","2009",364046,Not Applicable,Not Applicable
,"2010","2010",386037,Not Applicable,Not Applicable
,"2011","2011",406633,Not Applicable,Not Applicable
,"2012","2012",421045,Not Applicable,Not Applicable
,"2013","2013",435940,Not Applicable,Not Applicable
,"2014","2014",444687,Not Applicable,Not Applicable
,"2015","2015",468954,Not Applicable,Not Applicable
,"2016","2016",469983,Not Applicable,Not Applicable
,"2017","2017",489914,Not Applicable,Not Applicable
,"2018","2018",495164,Not Applicable,Not Applicable
,"2019","2019",494830,Not Applicable,Not Applicable
,"2020 ","2020",573554,Not Applicable,Not Applicable
"Total",,,8852681,Not Applicable,Not Applicable
