"Notes","MMWR Week","MMWR Week Code",Deaths,Population,Crude Rate
,"2018 Week 01 ending January 06, 2018","2018/01",50806,Not Applicable,Not Applicable
,"2018 Week 02 ending January 13, 2018","2018/02",60065,Not Applicable,Not Applicable
,"2018 Week 03 ending January 20, 2018","2018/03",57389,Not Applicable,Not Applicable
,"2018 Week 04 ending January 27, 2018","2018/04",55781,Not Applicable,Not Applicable
,"2018 Week 05 ending February 03, 2018","2018/05",54047,Not Applicable,Not Applicable
,"2018 Week 06 ending February 10, 2018","2018/06",54092,Not Applicable,Not Applicable
,"2018 Week 07 ending February 17, 2018","2018/07",53119,Not Applicable,Not Applicable
,"2018 Week 08 ending February 24, 2018","2018/08",51294,Not Applicable,Not Applicable
,"2018 Week 09 ending March 03, 2018","2018/09",50158,Not Applicable,Not Applicable
,"2018 Week 10 ending March 10, 2018","2018/10",50629,Not Applicable,Not Applicable
,"2018 Week 11 ending March 17, 2018","2018/11",50007,Not Applicable,Not Applicable
,"2018 Week 12 ending March 24, 2018","2018/12",49528,Not Applicable,Not Applicable
,"2018 Week 13 ending March 31, 2018","2018/13",48781,Not Applicable,Not Applicable
,"2018 Week 14 ending April 07, 2018","2018/14",49038,Not Applicable,Not Applicable
,"2018 Week 15 ending April 14, 2018","2018/15",49037,Not Applicable,Not Applicable
,"2018 Week 16 ending April 21, 2018","2018/16",47986,Not Applicable,Not Applicable
,"2018 Week 17 ending April 28, 2018","2018/17",47604,Not Applicable,Not Applicable
,"2018 Week 18 ending May 05, 2018","2018/18",47720,Not Applicable,Not Applicable
,"2018 Week 19 ending May 12, 2018","2018/19",46178,Not Applicable,Not Applicable
,"2018 Week 20 ending May 19, 2018","2018/20",44850,Not Applicable,Not Applicable
,"2018 Week 21 ending May 26, 2018","2018/21",45169,Not Applicable,Not Applicable
,"2018 Week 22 ending June 02, 2018","2018/22",45222,Not Applicable,Not Applicable
,"2018 Week 23 ending June 09, 2018","2018/23",46285,Not Applicable,Not Applicable
,"2018 Week 24 ending June 16, 2018","2018/24",45673,Not Applicable,Not Applicable
,"2018 Week 25 ending June 23, 2018","2018/25",45335,Not Applicable,Not Applicable
,"2018 Week 26 ending June 30, 2018","2018/26",45169,Not Applicable,Not Applicable
,"2018 Week 27 ending July 07, 2018","2018/27",45785,Not Applicable,Not Applicable
,"2018 Week 28 ending July 14, 2018","2018/28",45565,Not Applicable,Not Applicable
,"2018 Week 29 ending July 21, 2018","2018/29",44985,Not Applicable,Not Applicable
,"2018 Week 30 ending July 28, 2018","2018/30",44576,Not Applicable,Not Applicable
,"2018 Week 31 ending August 04, 2018","2018/31",44774,Not Applicable,Not Applicable
,"2018 Week 32 ending August 11, 2018","2018/32",45084,Not Applicable,Not Applicable
,"2018 Week 33 ending August 18, 2018","2018/33",44555,Not Applicable,Not Applicable
,"2018 Week 34 ending August 25, 2018","2018/34",44739,Not Applicable,Not Applicable
,"2018 Week 35 ending September 01, 2018","2018/35",44912,Not Applicable,Not Applicable
,"2018 Week 36 ending September 08, 2018","2018/36",44569,Not Applicable,Not Applicable
,"2018 Week 37 ending September 15, 2018","2018/37",45357,Not Applicable,Not Applicable
