"Notes","Year","Year Code",Deaths,Population,Crude Rate
,"1999","1999",16878,18591429,90.8
,"2000","2000",17744,18964001,93.6
,"2001","2001",18697,19757286,94.6
,"2002","2002",19234,20243765,95.0
,"2003","2003",19973,20591688,97.0
,"2004","2004",19715,20845560,94.6
,"2005","2005",20531,20959955,98.0
,"2006","2006",21148,21036135,100.5
,"2007","2007",20683,21077999,98.1
,"2008","2008",19791,21180612,93.4
,"2009","2009",18896,21384122,88.4
,"2010","2010",18664,21585999,86.5
,"2011","2011",19073,22153832,86.1
,"2012","2012",19108,22583203,84.6
,"2013","2013",19006,22795438,83.4
,"2014","2014",19205,22912174,83.8
,"2015","2015",20308,22739313,89.3
,"2016","2016",21763,22381028,97.2
,"2017","2017",21139,22118635,95.6
,"2018","2018",19774,21873579,90.4
,"2019","2019",19513,21632940,90.2
,"2020 ","2020",23538,21594755,109.0
"Total",,,434381,469003448,92.6
