"Notes","Month","Month Code",Deaths,Population,Crude Rate
,"Jan., 2022 (provisional)","2022/01",4215,Not Applicable,Not Applicable
,"Feb., 2022 (provisional)","2022/02",3401,Not Applicable,Not Applicable
,"Mar., 2022 (provisional)","2022/03",3618,Not Applicable,Not Applicable
,"Apr., 2022 (provisional)","2022/04",3406,Not Applicable,Not Applicable
,"May, 2022 (provisional)","2022/05",3443,Not Applicable,Not Applicable
,"Jun., 2022 (provisional)","2022/06",3514,Not Applicable,Not Applicable
,"Jul., 2022 (provisional)","2022/07",3763,Not Applicable,Not Applicable
,"Aug., 2022 (provisional)","2022/08",3632,Not Applicable,Not Applicable
,"Sep., 2022 (provisional)","2022/09",3495,Not Applicable,Not Applicable
,"Oct., 2022 (provisional)","2022/10",3533,Not Applicable,Not Applicable
,"Nov., 2022 (provisional)","2022/11",3361,Not Applicable,Not Applicable
,"Dec., 2022 (provisional)","2022/12",3689,Not Applicable,Not Applicable
,"Jan., 2023 (provisional)","2023/01",3469,Not Applicable,Not Applicable
,"Feb., 2023 (provisional)","2023/02",3081,Not Applicable,Not Applicable
,"Mar., 2023 (provisional)","2023/03",3475,Not Applicable,Not Applicable
,"Apr., 2023 (provisional)","2023/04",3196,Not Applicable,Not Applicable
,"May, 2023 (provisional)","2023/05",3367,Not Applicable,Not Applicable
,"Jun., 2023 (provisional)","2023/06",3250,Not Applicable,Not Applicable
,"Jul., 2023 (provisional)","2023/07",3509,Not Applicable,Not Applicable
,"Aug., 2023 (provisional)","2023/08",3263,Not Applicable,Not Applicable
,"Sep., 2023 (provisional)","2023/09",2800,Not Applicable,Not Applicable
,"Oct., 2023 (provisional and partial)","2023/10",1176,Not Applicable,Not Applicable
"Total",,,73656,Not Applicable,Not Applicable
