"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	4577	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	4587	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	5367	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	4945	Not Applicable	Not Applicable
	"Alabama"	"01"	"2022 (provisional)"	"2022"	4883	Not Applicable	Not Applicable
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	1438	Not Applicable	Not Applicable
"Total"	"Alabama"	"01"			25797	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	274	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	281	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	320	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021"	"2021"	360	Not Applicable	Not Applicable
	"Alaska"	"02"	"2022 (provisional)"	"2022"	325	Not Applicable	Not Applicable
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	96	Not Applicable	Not Applicable
"Total"	"Alaska"	"02"			1656	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	6179	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	6046	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	7198	Not Applicable	Not Applicable
	"Arizona"	"04"	"2021"	"2021"	7046	Not Applicable	Not Applicable
	"Arizona"	"04"	"2022 (provisional)"	"2022"	6785	Not Applicable	Not Applicable
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	2202	Not Applicable	Not Applicable
"Total"	"Arizona"	"04"			35456	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2018"	"2018"	2940	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2019"	"2019"	2900	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2020"	"2020"	3341	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2021"	"2021"	3057	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	3033	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	989	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"			16260	Not Applicable	Not Applicable
	"California"	"06"	"2018"	"2018"	32913	Not Applicable	Not Applicable
	"California"	"06"	"2019"	"2019"	32725	Not Applicable	Not Applicable
	"California"	"06"	"2020"	"2020"	36455	Not Applicable	Not Applicable
	"California"	"06"	"2021"	"2021"	35360	Not Applicable	Not Applicable
	"California"	"06"	"2022 (provisional)"	"2022"	35357	Not Applicable	Not Applicable
	"California"	"06"	"2023 (provisional and partial)"	"2023"	10959	Not Applicable	Not Applicable
"Total"	"California"	"06"			183769	Not Applicable	Not Applicable
	"Colorado"	"08"	"2018"	"2018"	4431	Not Applicable	Not Applicable
	"Colorado"	"08"	"2019"	"2019"	4414	Not Applicable	Not Applicable
	"Colorado"	"08"	"2020"	"2020"	5091	Not Applicable	Not Applicable
	"Colorado"	"08"	"2021"	"2021"	4710	Not Applicable	Not Applicable
	"Colorado"	"08"	"2022 (provisional)"	"2022"	4797	Not Applicable	Not Applicable
