"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	2543	653892	388.9
	"Alabama"	"01"	"2000"	"2000"	2578	660385	390.4
	"Alabama"	"01"	"2001"	"2001"	2631	670480	392.4
	"Alabama"	"01"	"2002"	"2002"	2652	676021	392.3
	"Alabama"	"01"	"2003"	"2003"	2822	680428	414.7
	"Alabama"	"01"	"2004"	"2004"	2826	683021	413.8
	"Alabama"	"01"	"2005"	"2005"	2816	683691	411.9
	"Alabama"	"01"	"2006"	"2006"	2867	682644	420.0
	"Alabama"	"01"	"2007"	"2007"	2734	674737	405.2
	"Alabama"	"01"	"2008"	"2008"	2849	666913	427.2
	"Alabama"	"01"	"2009"	"2009"	2664	662108	402.4
	"Alabama"	"01"	"2010"	"2010"	2533	657440	385.3
	"Alabama"	"01"	"2011"	"2011"	2497	648769	384.9
	"Alabama"	"01"	"2012"	"2012"	2501	641382	389.9
	"Alabama"	"01"	"2013"	"2013"	2558	633994	403.5
	"Alabama"	"01"	"2014"	"2014"	2410	623751	386.4
	"Alabama"	"01"	"2015"	"2015"	2454	614266	399.5
	"Alabama"	"01"	"2016"	"2016"	2478	606711	408.4
	"Alabama"	"01"	"2017"	"2017"	2409	603440	399.2
	"Alabama"	"01"	"2018"	"2018"	2451	601274	407.6
	"Alabama"	"01"	"2019"	"2019"	2404	598112	401.9
	"Alabama"	"01"	"2020 "	"2020"	2942	595971	493.6
"Total"	"Alabama"	"01"			57619	14219430	405.2
	"Alaska"	"02"	"1999"	"1999"	271	111702	242.6
	"Alaska"	"02"	"2000"	"2000"	309	111841	276.3
	"Alaska"	"02"	"2001"	"2001"	324	113144	286.4
	"Alaska"	"02"	"2002"	"2002"	384	113703	337.7
	"Alaska"	"02"	"2003"	"2003"	326	113230	287.9
	"Alaska"	"02"	"2004"	"2004"	336	113163	296.9
	"Alaska"	"02"	"2005"	"2005"	328	111613	293.9
	"Alaska"	"02"	"2006"	"2006"	311	109615	283.7
	"Alaska"	"02"	"2007"	"2007"	334	106543	313.5
