"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	436	645169	67.6
	"Alabama"	"01"	"2000"	"2000"	382	644832	59.2
	"Alabama"	"01"	"2001"	"2001"	391	645481	60.6
	"Alabama"	"01"	"2002"	"2002"	405	645757	62.7
	"Alabama"	"01"	"2003"	"2003"	352	648297	54.3
	"Alabama"	"01"	"2004"	"2004"	394	651323	60.5
	"Alabama"	"01"	"2005"	"2005"	363	653781	55.5
	"Alabama"	"01"	"2006"	"2006"	365	658870	55.4
	"Alabama"	"01"	"2007"	"2007"	359	661686	54.3
	"Alabama"	"01"	"2008"	"2008"	334	665083	50.2
	"Alabama"	"01"	"2009"	"2009"	300	665683	45.1
	"Alabama"	"01"	"2010"	"2010"	301	663126	45.4
	"Alabama"	"01"	"2011"	"2011"	300	655606	45.8
	"Alabama"	"01"	"2012"	"2012"	291	644819	45.1
	"Alabama"	"01"	"2013"	"2013"	251	637220	39.4
	"Alabama"	"01"	"2014"	"2014"	274	632306	43.3
	"Alabama"	"01"	"2015"	"2015"	279	629274	44.3
	"Alabama"	"01"	"2016"	"2016"	316	626927	50.4
	"Alabama"	"01"	"2017"	"2017"	294	627266	46.9
	"Alabama"	"01"	"2018"	"2018"	289	626175	46.2
	"Alabama"	"01"	"2019"	"2019"	301	624113	48.2
	"Alabama"	"01"	"2020 "	"2020"	297	620337	47.9
"Total"	"Alabama"	"01"			7274	14173131	51.3
	"Alaska"	"02"	"1999"	"1999"	61	105610	57.8
	"Alaska"	"02"	"2000"	"2000"	90	106755	84.3
	"Alaska"	"02"	"2001"	"2001"	73	109455	66.7
	"Alaska"	"02"	"2002"	"2002"	67	111102	60.3
	"Alaska"	"02"	"2003"	"2003"	88	111008	79.3
	"Alaska"	"02"	"2004"	"2004"	88	111034	79.3
	"Alaska"	"02"	"2005"	"2005"	68	109408	62.2
	"Alaska"	"02"	"2006"	"2006"	69	108364	63.7
	"Alaska"	"02"	"2007"	"2007"	68	106396	63.9
	"Alaska"	"02"	"2008"	"2008"	59	104688	56.4
	"Alaska"	"02"	"2009"	"2009"	52	104166	49.9
	"Alaska"	"02"	"2010"	"2010"	58	102957	56.3
	"Alaska"	"02"	"2011"	"2011"	56	102518	54.6
	"Alaska"	"02"	"2012"	"2012"	37	100332	36.9
