"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	4654	318368	1461.8
	"Alabama"	"01"	"2019"	"2019"	4585	321347	1426.8
	"Alabama"	"01"	"2020"	"2020"	5656	324620	1742.3
	"Alabama"	"01"	"2021"	"2021"	6304	335619	1878.3
	"Alabama"	"01"	"2022 (provisional)"	"2022"	5387	335619	1605.1
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	1501	335619	447.2
"Total"	"Alabama"	"01"			28087	1971192	1424.9
	"Alaska"	"02"	"2018"	"2018"	442	45356	974.5
	"Alaska"	"02"	"2019"	"2019"	436	45117	966.4
	"Alaska"	"02"	"2020"	"2020"	467	44960	1038.7
	"Alaska"	"02"	"2021"	"2021"	582	45236	1286.6
	"Alaska"	"02"	"2022 (provisional)"	"2022"	540	45236	1193.7
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	150	45236	331.6
"Total"	"Alaska"	"02"			2617	271141	965.2
	"Arizona"	"04"	"2018"	"2018"	4224	424192	995.8
	"Arizona"	"04"	"2019"	"2019"	4249	434063	978.9
	"Arizona"	"04"	"2020"	"2020"	5586	446003	1252.5
	"Arizona"	"04"	"2021"	"2021"	6258	443743	1410.3
	"Arizona"	"04"	"2022 (provisional)"	"2022"	5288	443743	1191.7
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	1500	443743	338.0
"Total"	"Arizona"	"04"			27105	2635487	1028.5
	"Arkansas"	"05"	"2018"	"2018"	2702	186304	1450.3
	"Arkansas"	"05"	"2019"	"2019"	2819	187973	1499.7
	"Arkansas"	"05"	"2020"	"2020"	3170	189917	1669.2
	"Arkansas"	"05"	"2021"	"2021"	3544	191949	1846.3
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	3187	191949	1660.3
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	937	191949	488.2
"Total"	"Arkansas"	"05"			16359	1140041	1434.9
	"California"	"06"	"2018"	"2018"	19484	2262416	861.2
	"California"	"06"	"2019"	"2019"	19572	2277858	859.2
	"California"	"06"	"2020"	"2020"	23874	2296040	1039.8
	"California"	"06"	"2021"	"2021"	26305	2322720	1132.5
	"California"	"06"	"2022 (provisional)"	"2022"	22257	2322720	958.2
	"California"	"06"	"2023 (provisional and partial)"	"2023"	6213	2322720	267.5
"Total"	"California"	"06"			117705	13804474	852.7
	"Colorado"	"08"	"2018"	"2018"	2832	343324	824.9
	"Colorado"	"08"	"2019"	"2019"	2966	348036	852.2
	"Colorado"	"08"	"2020"	"2020"	3392	351566	964.8
	"Colorado"	"08"	"2021"	"2021"	3760	353338	1064.1
	"Colorado"	"08"	"2022 (provisional)"	"2022"	3321	353338	939.9
	"Colorado"	"08"	"2023 (provisional and partial)"	"2023"	959	353338	271.4
"Total"	"Colorado"	"08"			17230	2102940	819.3
	"Connecticut"	"09"	"2018"	"2018"	1969	242338	812.5
	"Connecticut"	"09"	"2019"	"2019"	2057	245488	837.9
	"Connecticut"	"09"	"2020"	"2020"	2481	248225	999.5
	"Connecticut"	"09"	"2021"	"2021"	2471	254875	969.5
	"Connecticut"	"09"	"2022 (provisional)"	"2022"	2283	254875	895.7
	"Connecticut"	"09"	"2023 (provisional and partial)"	"2023"	684	254875	268.4
"Total"	"Connecticut"	"09"			11945	1500676	796.0
	"Delaware"	"10"	"2018"	"2018"	616	66846	921.5
	"Delaware"	"10"	"2019"	"2019"	685	68415	1001.2
	"Delaware"	"10"	"2020"	"2020"	816	70329	1160.3
	"Delaware"	"10"	"2021"	"2021"	901	73186	1231.1
	"Delaware"	"10"	"2022 (provisional)"	"2022"	858	73186	1172.4
	"Delaware"	"10"	"2023 (provisional and partial)"	"2023"	245	73186	334.8
"Total"	"Delaware"	"10"			4121	425148	969.3
	"District of Columbia"	"11"	"2018"	"2018"	515	33626	1531.6
	"District of Columbia"	"11"	"2019"	"2019"	483	33248	1452.7
	"District of Columbia"	"11"	"2020"	"2020"	619	33325	1857.5
	"District of Columbia"	"11"	"2021"	"2021"	623	31914	1952.1
	"District of Columbia"	"11"	"2022 (provisional)"	"2022"	502	31914	1573.0
	"District of Columbia"	"11"	"2023 (provisional and partial)"	"2023"	118	31914	369.7
"Total"	"District of Columbia"	"11"			2860	195941	1459.6
	"Florida"	"12"	"2018"	"2018"	14804	1384021	1069.6
	"Florida"	"12"	"2019"	"2019"	14923	1408845	1059.2
	"Florida"	"12"	"2020"	"2020"	17185	1444996	1189.3
	"Florida"	"12"	"2021"	"2021"	20101	1480962	1357.3
	"Florida"	"12"	"2022 (provisional)"	"2022"	16817	1480962	1135.5
	"Florida"	"12"	"2023 (provisional and partial)"	"2023"	4828	1480962	326.0
"Total"	"Florida"	"12"			88658	8680748	1021.3
	"Georgia"	"13"	"2018"	"2018"	7218	603335	1196.4
	"Georgia"	"13"	"2019"	"2019"	7611	616126	1235.3
	"Georgia"	"13"	"2020"	"2020"	9132	628527	1452.9
	"Georgia"	"13"	"2021"	"2021"	10243	643278	1592.3
	"Georgia"	"13"	"2022 (provisional)"	"2022"	8642	643278	1343.4
	"Georgia"	"13"	"2023 (provisional and partial)"	"2023"	2296	643278	356.9
"Total"	"Georgia"	"13"			45142	3777822	1194.9
	"Hawaii"	"15"	"2018"	"2018"	821	89920	913.0
	"Hawaii"	"15"	"2019"	"2019"	818	89179	917.3
	"Hawaii"	"15"	"2020"	"2020"	836	89001	939.3
	"Hawaii"	"15"	"2021"	"2021"	942	91482	1029.7
	"Hawaii"	"15"	"2022 (provisional)"	"2022"	854	91482	933.5
	"Hawaii"	"15"	"2023 (provisional and partial)"	"2023"	275	91482	300.6
"Total"	"Hawaii"	"15"			4546	542546	837.9
	"Idaho"	"16"	"2018"	"2018"	1026	106242	965.7
	"Idaho"	"16"	"2019"	"2019"	972	108819	893.2
	"Idaho"	"16"	"2020"	"2020"	1121	111774	1002.9
	"Idaho"	"16"	"2021"	"2021"	1389	117316	1184.0
	"Idaho"	"16"	"2022 (provisional)"	"2022"	1158	117316	987.1
	"Idaho"	"16"	"2023 (provisional and partial)"	"2023"	300	117316	255.7
"Total"	"Idaho"	"16"			5966	678783	878.9
	"Illinois"	"17"	"2018"	"2018"	8307	797589	1041.5
	"Illinois"	"17"	"2019"	"2019"	7975	803682	992.3
	"Illinois"	"17"	"2020"	"2020"	10258	805014	1274.3
	"Illinois"	"17"	"2021"	"2021"	9970	820867	1214.6
	"Illinois"	"17"	"2022 (provisional)"	"2022"	9373	820867	1141.8
	"Illinois"	"17"	"2023 (provisional and partial)"	"2023"	2576	820867	313.8
