"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	6182	216922	2849.9
	"Alabama"	"01"	"2019"	"2019"	6336	225999	2803.6
	"Alabama"	"01"	"2020"	"2020"	7836	235789	3323.3
	"Alabama"	"01"	"2021"	"2021"	8613	247567	3479.1
	"Alabama"	"01"	"2022 (provisional)"	"2022"	7544	247567	3047.3
	"Alabama"	"01"	"2023 (provisional and partial)"	"2023"	2133	247567	861.6
"Total"	"Alabama"	"01"			38644	1421411	2718.7
	"Alaska"	"02"	"2018"	"2018"	471	23477	2006.2
	"Alaska"	"02"	"2019"	"2019"	507	25039	2024.8
	"Alaska"	"02"	"2020"	"2020"	588	26629	2208.1
	"Alaska"	"02"	"2021"	"2021"	721	28129	2563.2
	"Alaska"	"02"	"2022 (provisional)"	"2022"	668	28129	2374.8
	"Alaska"	"02"	"2023 (provisional and partial)"	"2023"	178	28129	632.8
"Total"	"Alaska"	"02"			3133	159532	1963.9
	"Arizona"	"04"	"2018"	"2018"	6406	336433	1904.1
	"Arizona"	"04"	"2019"	"2019"	6669	353200	1888.2
	"Arizona"	"04"	"2020"	"2020"	8668	374349	2315.5
	"Arizona"	"04"	"2021"	"2021"	9613	373692	2572.4
	"Arizona"	"04"	"2022 (provisional)"	"2022"	8550	373692	2288.0
	"Arizona"	"04"	"2023 (provisional and partial)"	"2023"	2442	373692	653.5
"Total"	"Arizona"	"04"			42348	2185058	1938.1
	"Arkansas"	"05"	"2018"	"2018"	3655	133450	2738.9
	"Arkansas"	"05"	"2019"	"2019"	3856	137869	2796.9
	"Arkansas"	"05"	"2020"	"2020"	4559	142360	3202.4
	"Arkansas"	"05"	"2021"	"2021"	4934	145083	3400.8
	"Arkansas"	"05"	"2022 (provisional)"	"2022"	4518	145083	3114.1
	"Arkansas"	"05"	"2023 (provisional and partial)"	"2023"	1373	145083	946.4
"Total"	"Arkansas"	"05"			22895	848928	2696.9
	"California"	"06"	"2018"	"2018"	25971	1432312	1813.2
	"California"	"06"	"2019"	"2019"	26531	1496798	1772.5
	"California"	"06"	"2020"	"2020"	32434	1551490	2090.5
	"California"	"06"	"2021"	"2021"	34921	1596706	2187.1
	"California"	"06"	"2022 (provisional)"	"2022"	31904	1596706	1998.1
	"California"	"06"	"2023 (provisional and partial)"	"2023"	9470	1596706	593.1
"Total"	"California"	"06"			161231	9270718	1739.1
	"Colorado"	"08"	"2018"	"2018"	3814	212721	1793.0
	"Colorado"	"08"	"2019"	"2019"	3958	225835	1752.6
	"Colorado"	"08"	"2020"	"2020"	4900	239677	2044.4
	"Colorado"	"08"	"2021"	"2021"	5277	249937	2111.3
	"Colorado"	"08"	"2022 (provisional)"	"2022"	4978	249937	1991.7
	"Colorado"	"08"	"2023 (provisional and partial)"	"2023"	1460	249937	584.1
"Total"	"Colorado"	"08"			24387	1428044	1707.7
	"Connecticut"	"09"	"2018"	"2018"	2720	153250	1774.9
	"Connecticut"	"09"	"2019"	"2019"	2913	157736	1846.8
	"Connecticut"	"09"	"2020"	"2020"	3501	163097	2146.6
	"Connecticut"	"09"	"2021"	"2021"	3239	169040	1916.1
	"Connecticut"	"09"	"2022 (provisional)"	"2022"	3228	169040	1909.6
	"Connecticut"	"09"	"2023 (provisional and partial)"	"2023"	923	169040	546.0
"Total"	"Connecticut"	"09"			16524	981203	1684.1
	"Delaware"	"10"	"2018"	"2018"	998	48680	2050.1
	"Delaware"	"10"	"2019"	"2019"	966	51436	1878.1
	"Delaware"	"10"	"2020"	"2020"	1235	54285	2275.0
	"Delaware"	"10"	"2021"	"2021"	1379	57028	2418.1
	"Delaware"	"10"	"2022 (provisional)"	"2022"	1357	57028	2379.5
	"Delaware"	"10"	"2023 (provisional and partial)"	"2023"	367	57028	643.5
"Total"	"Delaware"	"10"			6302	325485	1936.2
	"District of Columbia"	"11"	"2018"	"2018"	483	21120	2286.9
	"District of Columbia"	"11"	"2019"	"2019"	480	21964	2185.4
	"District of Columbia"	"11"	"2020"	"2020"	643	22932	2803.9
	"District of Columbia"	"11"	"2021"	"2021"	652	22844	2854.1
	"District of Columbia"	"11"	"2022 (provisional)"	"2022"	602	22844	2635.3
	"District of Columbia"	"11"	"2023 (provisional and partial)"	"2023"	141	22844	617.2
"Total"	"District of Columbia"	"11"			3001	134548	2230.4
	"Florida"	"12"	"2018"	"2018"	21580	1126022	1916.5
	"Florida"	"12"	"2019"	"2019"	21857	1169485	1868.9
	"Florida"	"12"	"2020"	"2020"	25688	1212944	2117.8
	"Florida"	"12"	"2021"	"2021"	29010	1238372	2342.6
	"Florida"	"12"	"2022 (provisional)"	"2022"	25779	1238372	2081.7
	"Florida"	"12"	"2023 (provisional and partial)"	"2023"	7612	1238372	614.7
"Total"	"Florida"	"12"			131526	7223567	1820.8
	"Georgia"	"13"	"2018"	"2018"	9840	394443	2494.7
	"Georgia"	"13"	"2019"	"2019"	10002	414634	2412.2
	"Georgia"	"13"	"2020"	"2020"	12234	434289	2817.0
	"Georgia"	"13"	"2021"	"2021"	13624	448250	3039.4
	"Georgia"	"13"	"2022 (provisional)"	"2022"	12167	448250	2714.3
	"Georgia"	"13"	"2023 (provisional and partial)"	"2023"	3372	448250	752.3
"Total"	"Georgia"	"13"			61239	2588116	2366.2
	"Hawaii"	"15"	"2018"	"2018"	1151	66441	1732.4
	"Hawaii"	"15"	"2019"	"2019"	1152	69054	1668.3
	"Hawaii"	"15"	"2020"	"2020"	1305	71844	1816.4
	"Hawaii"	"15"	"2021"	"2021"	1343	76151	1763.6
	"Hawaii"	"15"	"2022 (provisional)"	"2022"	1357	76151	1782.0
	"Hawaii"	"15"	"2023 (provisional and partial)"	"2023"	430	76151	564.7
"Total"	"Hawaii"	"15"			6738	435792	1546.2
	"Idaho"	"16"	"2018"	"2018"	1490	73696	2021.8
	"Idaho"	"16"	"2019"	"2019"	1547	77982	1983.8
	"Idaho"	"16"	"2020"	"2020"	1895	83550	2268.1
	"Idaho"	"16"	"2021"	"2021"	2172	89510	2426.5
	"Idaho"	"16"	"2022 (provisional)"	"2022"	1953	89510	2181.9
	"Idaho"	"16"	"2023 (provisional and partial)"	"2023"	561	89510	626.7
"Total"	"Idaho"	"16"			9618	503758	1909.3
	"Illinois"	"17"	"2018"	"2018"	10727	492679	2177.3
	"Illinois"	"17"	"2019"	"2019"	10976	513854	2136.0
	"Illinois"	"17"	"2020"	"2020"	14110	536843	2628.3
	"Illinois"	"17"	"2021"	"2021"	13943	563021	2476.5
	"Illinois"	"17"	"2022 (provisional)"	"2022"	13434	563021	2386.1
	"Illinois"	"17"	"2023 (provisional and partial)"	"2023"	3819	563021	678.3
"Total"	"Illinois"	"17"			67009	3232439	2073.0
	"Indiana"	"18"	"2018"	"2018"	6896	265056	2601.7
	"Indiana"	"18"	"2019"	"2019"	7262	278327	2609.2
	"Indiana"	"18"	"2020"	"2020"	8611	291831	2950.7
	"Indiana"	"18"	"2021"	"2021"	9283	304590	3047.7
	"Indiana"	"18"	"2022 (provisional)"	"2022"	8594	304590	2821.5
	"Indiana"	"18"	"2023 (provisional and partial)"	"2023"	2354	304590	772.8
"Total"	"Indiana"	"18"			43000	1748984	2458.6
	"Iowa"	"19"	"2018"	"2018"	2833	128180	2210.2
	"Iowa"	"19"	"2019"	"2019"	2985	134561	2218.3
	"Iowa"	"19"	"2020"	"2020"	3716	142248	2612.3
	"Iowa"	"19"	"2021"	"2021"	3768	150487	2503.9
	"Iowa"	"19"	"2022 (provisional)"	"2022"	3697	150487	2456.7
	"Iowa"	"19"	"2023 (provisional and partial)"	"2023"	1094	150487	727.0
"Total"	"Iowa"	"19"			18093	856450	2112.6
	"Kansas"	"20"	"2018"	"2018"	2728	112595	2422.8
	"Kansas"	"20"	"2019"	"2019"	2881	117745	2446.8
	"Kansas"	"20"	"2020"	"2020"	3394	123948	2738.2
	"Kansas"	"20"	"2021"	"2021"	3578	130835	2734.7
	"Kansas"	"20"	"2022 (provisional)"	"2022"	3460	130835	2644.6
	"Kansas"	"20"	"2023 (provisional and partial)"	"2023"	1068	130835	816.3
"Total"	"Kansas"	"20"			17109	746793	2291.0
	"Kentucky"	"21"	"2018"	"2018"	5602	190146	2946.2
	"Kentucky"	"21"	"2019"	"2019"	5685	199073	2855.7
	"Kentucky"	"21"	"2020"	"2020"	6554	208086	3149.7
	"Kentucky"	"21"	"2021"	"2021"	7519	216377	3475.0
	"Kentucky"	"21"	"2022 (provisional)"	"2022"	6892	216377	3185.2
	"Kentucky"	"21"	"2023 (provisional and partial)"	"2023"	1878	216377	867.9
"Total"	"Kentucky"	"21"			34130	1246436	2738.2
	"Louisiana"	"22"	"2018"	"2018"	5071	185061	2740.2
	"Louisiana"	"22"	"2019"	"2019"	5088	193611	2627.9
	"Louisiana"	"22"	"2020"	"2020"	6449	202732	3181.0
	"Louisiana"	"22"	"2021"	"2021"	6771	210478	3217.0
	"Louisiana"	"22"	"2022 (provisional)"	"2022"	6047	210478	2873.0
	"Louisiana"	"22"	"2023 (provisional and partial)"	"2023"	1499	210478	712.2
"Total"	"Louisiana"	"22"			30925	1212838	2549.8
	"Maine"	"23"	"2018"	"2018"	1514	71640	2113.3
	"Maine"	"23"	"2019"	"2019"	1592	75309	2114.0
	"Maine"	"23"	"2020"	"2020"	1776	79384	2237.2
	"Maine"	"23"	"2021"	"2021"	1989	83881	2371.2
	"Maine"	"23"	"2022 (provisional)"	"2022"	1929	83881	2299.7
	"Maine"	"23"	"2023 (provisional and partial)"	"2023"	584	83881	696.2
"Total"	"Maine"	"23"			9384	477976	1963.3
	"Maryland"	"24"	"2018"	"2018"	4986	238174	2093.4
	"Maryland"	"24"	"2019"	"2019"	5165	249061	2073.8
	"Maryland"	"24"	"2020"	"2020"	6388	259043	2466.0
	"Maryland"	"24"	"2021"	"2021"	6396	272316	2348.7
	"Maryland"	"24"	"2022 (provisional)"	"2022"	6019	272316	2210.3
	"Maryland"	"24"	"2023 (provisional and partial)"	"2023"	1751	272316	643.0
"Total"	"Maryland"	"24"			30705	1563226	1964.2
	"Massachusetts"	"25"	"2018"	"2018"	5566	286579	1942.2
	"Massachusetts"	"25"	"2019"	"2019"	5474	299577	1827.2
	"Massachusetts"	"25"	"2020"	"2020"	6703	311598	2151.2
