"Notes","Residence State","Residence State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018",51,310495,16.4
,"Alabama","01","2019","2019",66,310498,21.3
,"Alabama","01","2020","2020",51,310210,16.4
,"Alabama","01","2021","2021",89,326763,27.2
,"Alabama","01","2022 (provisional)","2022",69,326763,21.1
,"Alabama","01","2023 (provisional and partial)","2023",15,326763,Unreliable
,"Alaska","02","2018","2018",10,49759,Unreliable
,"Alaska","02","2019","2019",17,49066,Unreliable
,"Alaska","02","2020","2020",18,49030,Unreliable
,"Alaska","02","2022 (provisional)","2022",11,51080,Unreliable
,"Arizona","04","2018","2018",85,476421,17.8
,"Arizona","04","2019","2019",93,477053,19.5
,"Arizona","04","2020","2020",90,478216,18.8
,"Arizona","04","2021","2021",90,477133,18.9
,"Arizona","04","2022 (provisional)","2022",74,477133,15.5
,"Arizona","04","2023 (provisional and partial)","2023",36,477133,7.5
,"Arkansas","05","2018","2018",43,200786,21.4
,"Arkansas","05","2019","2019",42,200466,21.0
,"Arkansas","05","2020","2020",48,200458,23.9
,"Arkansas","05","2021","2021",49,205098,23.9
,"Arkansas","05","2022 (provisional)","2022",51,205098,24.9
,"Arkansas","05","2023 (provisional and partial)","2023",12,205098,Unreliable
,"California","06","2018","2018",263,2547973,10.3
,"California","06","2019","2019",270,2529137,10.7
,"California","06","2020","2020",335,2505304,13.4
,"California","06","2021","2021",322,2570492,12.5
,"California","06","2022 (provisional)","2022",312,2570492,12.1
,"California","06","2023 (provisional and partial)","2023",91,2570492,3.5
,"Colorado","08","2018","2018",61,365378,16.7
,"Colorado","08","2019","2019",65,363539,17.9
,"Colorado","08","2020","2020",69,361425,19.1
,"Colorado","08","2021","2021",78,366622,21.3
,"Colorado","08","2022 (provisional)","2022",81,366622,22.1
,"Colorado","08","2023 (provisional and partial)","2023",19,366622,Unreliable
,"Connecticut","09","2018","2018",20,217897,9.2
,"Connecticut","09","2019","2019",23,214262,10.7
,"Connecticut","09","2020","2020",20,210332,9.5
,"Connecticut","09","2021","2021",29,217127,13.4
,"Connecticut","09","2022 (provisional)","2022",21,217127,9.7
,"Delaware","10","2021","2021",14,60635,Unreliable
,"Florida","12","2018","2018",153,1206247,12.7
,"Florida","12","2019","2019",163,1206047,13.5
,"Florida","12","2020","2020",202,1211524,16.7
,"Florida","12","2021","2021",204,1246722,16.4
,"Florida","12","2022 (provisional)","2022",207,1246722,16.6
,"Florida","12","2023 (provisional and partial)","2023",65,1246722,5.2
,"Georgia","13","2018","2018",118,727758,16.2
,"Georgia","13","2019","2019",130,727416,17.9
,"Georgia","13","2020","2020",158,726884,21.7
,"Georgia","13","2021","2021",166,747740,22.2
,"Georgia","13","2022 (provisional)","2022",132,747740,17.7
,"Georgia","13","2023 (provisional and partial)","2023",35,747740,4.7
,"Hawaii","15","2019","2019",17,80876,Unreliable
,"Hawaii","15","2020","2020",10,78574,Unreliable
,"Hawaii","15","2022 (provisional)","2022",20,84745,23.6
,"Idaho","16","2018","2018",26,131036,19.8
,"Idaho","16","2019","2019",26,131471,19.8
,"Idaho","16","2020","2020",22,132772,16.6
,"Idaho","16","2021","2021",29,140519,20.6
,"Idaho","16","2022 (provisional)","2022",33,140519,23.5
,"Illinois","17","2018","2018",141,819148,17.2
,"Illinois","17","2019","2019",98,806018,12.2
,"Illinois","17","2020","2020",123,795778,15.5
,"Illinois","17","2021","2021",130,821691,15.8
,"Illinois","17","2022 (provisional)","2022",134,821691,16.3
,"Illinois","17","2023 (provisional and partial)","2023",28,821691,3.4
,"Indiana","18","2018","2018",70,448590,15.6
,"Indiana","18","2019","2019",81,447039,18.1
,"Indiana","18","2020","2020",87,445948,19.5
,"Indiana","18","2021","2021",89,460672,19.3
,"Indiana","18","2022 (provisional)","2022",90,460672,19.5
,"Indiana","18","2023 (provisional and partial)","2023",18,460672,Unreliable
,"Iowa","19","2018","2018",32,208564,15.3
,"Iowa","19","2019","2019",45,208339,21.6
,"Iowa","19","2020","2020",36,208584,17.3
,"Iowa","19","2021","2021",35,214645,16.3
,"Iowa","19","2022 (provisional)","2022",39,214645,18.2
,"Kansas","20","2018","2018",35,200446,17.5
,"Kansas","20","2019","2019",35,199903,17.5
,"Kansas","20","2020","2020",37,200006,18.5
,"Kansas","20","2021","2021",38,206681,18.4
,"Kansas","20","2022 (provisional)","2022",45,206681,21.8
,"Kansas","20","2023 (provisional and partial)","2023",10,206681,Unreliable
,"Kentucky","21","2018","2018",37,285788,12.9
,"Kentucky","21","2019","2019",60,284000,21.1
,"Kentucky","21","2020","2020",71,282821,25.1
,"Kentucky","21","2021","2021",57,292762,19.5
,"Kentucky","21","2022 (provisional)","2022",62,292762,21.2
,"Kentucky","21","2023 (provisional and partial)","2023",20,292762,6.8
,"Louisiana","22","2018","2018",64,307358,20.8
,"Louisiana","22","2019","2019",70,306719,22.8
,"Louisiana","22","2020","2020",78,304821,25.6
,"Louisiana","22","2021","2021",84,311821,26.9
,"Louisiana","22","2022 (provisional)","2022",75,311821,24.1
,"Louisiana","22","2023 (provisional and partial)","2023",15,311821,Unreliable
,"Maine","23","2018","2018",12,73235,Unreliable
,"Maine","23","2020","2020",10,71960,Unreliable
,"Maine","23","2022 (provisional)","2022",19,74112,Unreliable
,"Maryland","24","2018","2018",37,378506,9.8
,"Maryland","24","2019","2019",50,377314,13.3
,"Maryland","24","2020","2020",43,377704,11.4
,"Maryland","24","2021","2021",58,395912,14.6
,"Maryland","24","2022 (provisional)","2022",64,395912,16.2
,"Maryland","24","2023 (provisional and partial)","2023",16,395912,Unreliable
,"Massachusetts","25","2018","2018",27,389142,6.9
,"Massachusetts","25","2019","2019",34,382585,8.9
,"Massachusetts","25","2020","2020",23,379381,6.1
,"Massachusetts","25","2021","2021",50,395467,12.6
,"Massachusetts","25","2022 (provisional)","2022",36,395467,9.1
,"Massachusetts","25","2023 (provisional and partial)","2023",15,395467,Unreliable
,"Michigan","26","2018","2018",117,619422,18.9
,"Michigan","26","2019","2019",114,610364,18.7
,"Michigan","26","2020","2020",95,604840,15.7
,"Michigan","26","2021","2021",95,625286,15.2
,"Michigan","26","2022 (provisional)","2022",110,625286,17.6
,"Michigan","26","2023 (provisional and partial)","2023",36,625286,5.8
,"Minnesota","27","2018","2018",49,370652,13.2
,"Minnesota","27","2019","2019",47,369747,12.7
,"Minnesota","27","2020","2020",43,369664,11.6
,"Minnesota","27","2021","2021",60,382463,15.7
,"Minnesota","27","2022 (provisional)","2022",60,382463,15.7
,"Minnesota","27","2023 (provisional and partial)","2023",12,382463,Unreliable
,"Mississippi","28","2018","2018",49,206927,23.7
,"Mississippi","28","2019","2019",52,206282,25.2
,"Mississippi","28","2020","2020",63,203643,30.9
,"Mississippi","28","2021","2021",63,205993,30.6
,"Mississippi","28","2022 (provisional)","2022",54,205993,26.2
,"Mississippi","28","2023 (provisional and partial)","2023",14,205993,Unreliable
,"Missouri","29","2018","2018",61,391940,15.6
,"Missouri","29","2019","2019",72,391115,18.4
,"Missouri","29","2020","2020",83,390001,21.3
,"Missouri","29","2021","2021",81,401359,20.2
,"Missouri","29","2022 (provisional)","2022",77,401359,19.2
,"Missouri","29","2023 (provisional and partial)","2023",17,401359,Unreliable
,"Montana","30","2018","2018",21,65281,32.2
,"Montana","30","2019","2019",12,65429,Unreliable
