"Notes"	"Residence County"	"Residence County Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Adams County, NE"	"31001"	"2018 Week 07 ending February 17, 2018"	"2018/07"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2018 Week 16 ending April 21, 2018"	"2018/16"	14	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2018 Week 20 ending May 19, 2018"	"2018/20"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2018 Week 23 ending June 09, 2018"	"2018/23"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2018 Week 31 ending August 04, 2018"	"2018/31"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2018 Week 50 ending December 15, 2018"	"2018/50"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2018 Week 52 ending December 29, 2018"	"2018/52"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2019 Week 08 ending February 23, 2019"	"2019/08"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2019 Week 09 ending March 02, 2019"	"2019/09"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2019 Week 14 ending April 06, 2019"	"2019/14"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2019 Week 16 ending April 20, 2019"	"2019/16"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2019 Week 45 ending November 09, 2019"	"2019/45"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 01 ending January 04, 2020"	"2020/01"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 18 ending May 02, 2020"	"2020/18"	13	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 21 ending May 23, 2020"	"2020/21"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 22 ending May 30, 2020"	"2020/22"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 26 ending June 27, 2020"	"2020/26"	13	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 39 ending September 26, 2020"	"2020/39"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 45 ending November 07, 2020"	"2020/45"	15	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 46 ending November 14, 2020"	"2020/46"	14	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 47 ending November 21, 2020"	"2020/47"	13	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 48 ending November 28, 2020"	"2020/48"	15	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 52 ending December 26, 2020"	"2020/52"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2020 Week 53 ending January 02, 2021"	"2020/53"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 03 ending January 23, 2021"	"2021/03"	13	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 15 ending April 17, 2021"	"2021/15"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 23 ending June 12, 2021"	"2021/23"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 28 ending July 17, 2021"	"2021/28"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 29 ending July 24, 2021"	"2021/29"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 43 ending October 30, 2021"	"2021/43"	13	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 44 ending November 06, 2021"	"2021/44"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 46 ending November 20, 2021"	"2021/46"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 47 ending November 27, 2021"	"2021/47"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 49 ending December 11, 2021"	"2021/49"	13	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2021 Week 51 ending December 25, 2021"	"2021/51"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 01 ending January 08, 2022 (provisional)"	"2022/01"	14	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 07 ending February 19, 2022 (provisional)"	"2022/07"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 08 ending February 26, 2022 (provisional)"	"2022/08"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 09 ending March 05, 2022 (provisional)"	"2022/09"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 12 ending March 26, 2022 (provisional)"	"2022/12"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 34 ending August 27, 2022 (provisional)"	"2022/34"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 37 ending September 17, 2022 (provisional)"	"2022/37"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 42 ending October 22, 2022 (provisional)"	"2022/42"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 47 ending November 26, 2022 (provisional)"	"2022/47"	12	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2022 Week 49 ending December 10, 2022 (provisional)"	"2022/49"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2023 Week 15 ending April 15, 2023 (provisional)"	"2023/15"	10	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2023 Week 18 ending May 06, 2023 (provisional)"	"2023/18"	11	Not Applicable	Not Applicable
	"Adams County, NE"	"31001"	"2023 Week 24 ending June 17, 2023 (provisional)"	"2023/24"	10	Not Applicable	Not Applicable
"Total"	"Adams County, NE"	"31001"			1930	Not Applicable	Not Applicable
"Total"	"Antelope County, NE"	"31003"			391	Not Applicable	Not Applicable
"Total"	"Arthur County, NE"	"31005"			24	Not Applicable	Not Applicable
"Total"	"Banner County, NE"	"31007"			31	Not Applicable	Not Applicable
"Total"	"Blaine County, NE"	"31009"			37	Not Applicable	Not Applicable
"Total"	"Boone County, NE"	"31011"			381	Not Applicable	Not Applicable
"Total"	"Box Butte County, NE"	"31013"			685	Not Applicable	Not Applicable
"Total"	"Boyd County, NE"	"31015"			190	Not Applicable	Not Applicable
"Total"	"Brown County, NE"	"31017"			232	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2018 Week 04 ending January 27, 2018"	"2018/04"	12	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2018 Week 14 ending April 07, 2018"	"2018/14"	14	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2018 Week 17 ending April 28, 2018"	"2018/17"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2018 Week 31 ending August 04, 2018"	"2018/31"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2018 Week 33 ending August 18, 2018"	"2018/33"	11	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2018 Week 38 ending September 22, 2018"	"2018/38"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2018 Week 42 ending October 20, 2018"	"2018/42"	11	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 02 ending January 12, 2019"	"2019/02"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 04 ending January 26, 2019"	"2019/04"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 13 ending March 30, 2019"	"2019/13"	13	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 20 ending May 18, 2019"	"2019/20"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 25 ending June 22, 2019"	"2019/25"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 26 ending June 29, 2019"	"2019/26"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 29 ending July 20, 2019"	"2019/29"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 30 ending July 27, 2019"	"2019/30"	17	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 37 ending September 14, 2019"	"2019/37"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 41 ending October 12, 2019"	"2019/41"	12	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 46 ending November 16, 2019"	"2019/46"	11	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2019 Week 48 ending November 30, 2019"	"2019/48"	12	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2020 Week 05 ending February 01, 2020"	"2020/05"	11	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2020 Week 06 ending February 08, 2020"	"2020/06"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2020 Week 07 ending February 15, 2020"	"2020/07"	10	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2020 Week 10 ending March 07, 2020"	"2020/10"	12	Not Applicable	Not Applicable
	"Buffalo County, NE"	"31019"	"2020 Week 11 ending March 14, 2020"	"2020/11"	12	Not Applicable	Not Applicable
