"Notes","Residence State","Residence State Code","Month","Month Code",Deaths,Population,Crude Rate
,"Alabama","01","Jan., 2021","2021/01",261,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2021","2021/02",214,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2021","2021/03",200,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2021","2021/04",150,Not Applicable,Not Applicable
,"Alabama","01","May, 2021","2021/05",174,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2021","2021/06",179,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2021","2021/07",179,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2021","2021/08",232,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2021","2021/09",191,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2021","2021/10",208,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2021","2021/11",196,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2021","2021/12",207,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2022 (provisional)","2022/01",241,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2022 (provisional)","2022/02",236,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2022 (provisional)","2022/03",160,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2022 (provisional)","2022/04",164,Not Applicable,Not Applicable
,"Alabama","01","May, 2022 (provisional)","2022/05",158,Not Applicable,Not Applicable
,"Alabama","01","Jun., 2022 (provisional)","2022/06",170,Not Applicable,Not Applicable
,"Alabama","01","Jul., 2022 (provisional)","2022/07",174,Not Applicable,Not Applicable
,"Alabama","01","Aug., 2022 (provisional)","2022/08",178,Not Applicable,Not Applicable
,"Alabama","01","Sep., 2022 (provisional)","2022/09",181,Not Applicable,Not Applicable
,"Alabama","01","Oct., 2022 (provisional)","2022/10",177,Not Applicable,Not Applicable
,"Alabama","01","Nov., 2022 (provisional)","2022/11",199,Not Applicable,Not Applicable
,"Alabama","01","Dec., 2022 (provisional)","2022/12",227,Not Applicable,Not Applicable
,"Alabama","01","Jan., 2023 (provisional)","2023/01",209,Not Applicable,Not Applicable
,"Alabama","01","Feb., 2023 (provisional)","2023/02",207,Not Applicable,Not Applicable
,"Alabama","01","Mar., 2023 (provisional)","2023/03",173,Not Applicable,Not Applicable
,"Alabama","01","Apr., 2023 (provisional)","2023/04",118,Not Applicable,Not Applicable
"Total","Alabama","01",,,5363,Not Applicable,Not Applicable
